Title,Location,Time
Figma product launch,Main stage | Exhibitor Level: Hall ABC,When:May 7 9:00AM – 10:20AM PDT
,,
Figma deep dive,Exhibitor Level: Hall ABC,When:May 7 10:35AM – 11:35AM PDT
,,
From storytelling as a PM to storytelling as a film director,Mezzanine level,When:May 7 10:40AM – 12:00PM PDT
Beyond agents: AI as a creative partner,Mezzanine level,
The maximalist theory of minimalism,Mezzanine level,
Poetry Camera: How to fall back in love with technology,Mezzanine level,
,,
The shapes of creative work,Level 2,When:May 7 11:10AM – 12:10PM PDT
Growth design as art and science,Level 2,
Unlearning design: how testing transformed my work,Level 2,
,,
Maximize design collaboration with Atlassian and Figma,Exhibitor level: Hall E,When:May 7 11:40AM – 12:00PM PDT
The rise of the design engineer,Exhibitor level: Hall E,When:May 7 12:00PM – 12:20PM PDT
"UserTesting x Figma: faster feedback, smarter design",Exhibitor level: Hall E,When:May 7 12:20PM – 12:40PM PDT
And...cut! The design process behind animation tools,Mezzanine level,When:May 7 12:25PM – 1:25PM PDT
"No flags, just wins: reimagining the NFL app",Mezzanine level,
Designing positive futures,Mezzanine level,
,,
Designing in disaster,Exhibitor Level: Hall ABC Turn,When:May 7 12:35PM – 1:55PM PDT
Crossing the chasm between quality and performance,Exhibitor Level: Hall ABC Turn,
Writing is designing,Exhibitor Level: Hall ABC Turn,
Designing for play and friction in a fast-paced world,Exhibitor Level: Hall ABC Turn,
,,
The evolution of brand identities,Level 2,When:May 7 1:10PM – 1:55PM PDT
Figma + Coda Brain: Design systems in an AI first ecosystem,Exhibitor level: Hall E,When:May 7 1:35PM – 1:55PM PDT
Design journey: the magic of ‹div›RIOTS plugins,Exhibitor level: Hall E,When:May 7 1:55PM – 2:15PM PDT
"From canvas to code: building design systems, together",Exhibitor Level: Hall ABC,When:May 7 2:15PM – 3:15PM PDT
Influencing via prototyping,Level 2,When:May 7 2:25PM – 3:45PM PDT
When products must die,Level 3,
Pitch perfect: how to present ideas to cut through the noise,Level 4,
,,
Building digital products as a company of one,Mezzanine level,When:May 7 2:25PM – 3:45PM PDT
Just... go for it!,Mezzanine level,
The space-filling curve of desig,Mezzanine level,
Building in public with Figma: designers should be creators,Mezzanine level,
,,
Design to code: unlocking creativity with GitHub and Figma,Exhibitor level: Hall E,When:May 7 3:20PM – 3:40PM PDT
Crafting quality that endures,"Main stage, Exhibitor Level: Hall ABC",When:May 7 4:00PM – 5:00PM PDT
Designing dystopia: the creative vision behind Severance,"Main stage, Exhibitor Level: Hall ABC",
Building the next computing platform,"Main stage, Exhibitor Level: Hall ABC",
,,
Augmental MouthPad^: interaction beyond the hands,"Main stage, Exhibitor Level: Hall ABC",When:May 8 9:00AM – 10:00AM PDT
How to be a robot whisperer,,
Breaking and entering (and building culture along the way),,
,,
Figma deep dive,Exhibitor Level: Hall ABC,When:May 8 10:35AM – 11:35AM PDT
Typography is the foundation of any design system,Mezzanine level,When:May 8 10:40AM – 11:40AM PDT
The art of not naming your layers,Mezzanine level,
"Please, no glue on the cutting mat",Mezzanine level,
,,
"The endless canvas: Figma, 2D pixels & 3D shaders",Level 2,When:May 8 10:50AM – 11:50AM PDT
The future of the web is paved with shaders,Level 2,
Design meets code: interactive animations with Figma,Level 2,
,,
Figma deep dive,Exhibitor Level: Hall ABC,When:May 8 11:55AM – 12:55PM PDT
"Better research, better design",Exhibitor level: Hall E,When:May 8 12:00PM – 12:20PM PDT
Using AI to turn designs into clean code,Exhibitor level: Hall E,When:May 8 12:20PM – 12:40PM PDT
Figma deep dive,Mezzanine level,When:May 8 12:40PM – 1:40PM PDT
"Tech as a playbook, not as the solution",Level 2,When:May 8 1:00PM – 2:00PM PDT
Figma x Coda,Level 2,
Design at the speed of startups,Level 2,
,,
New options for accessible design,Exhibitor level: Hall E,When:May 8 1:40PM – 2:00PM PDT
The wild west of collaborative brand design,Exhibitor Level: Hall ABC,When:May 8 2:10PM – 3:10PM PDT
Trust is the currency,Exhibitor Level: Hall ABC,
Context is everything,Exhibitor Level: Hall ABC,
,,
Inclusive development through web components,Mezzanine level,When:May 8 2:10PM – 3:10PM PDT
Power of collective intelligence,Level 2,When:May 8 2:20PM – 3:00PM PDT